date,open,close,high,low,volume,amount,change
2025-09-11,6924.3,7122.71,7123.05,6889.59,243951061.0,469498304002.7,2.865415998729111
2025-09-12,7115.61,7147.75,7200.16,7112.42,266567508.0,499359865690.2,0.45168298993340456
2025-09-15,7170.41,7137.36,7174.89,7126.83,238265724.0,441828732816.1,-0.46092203932550835
2025-09-16,7152.19,7190.99,7195.42,7080.43,242349183.0,435210189393.5,0.5424911810228781
2025-09-17,7184.26,7260.04,7265.39,7159.67,258264449.0,445549244676.8,1.0548059229482194
2025-09-18,7248.28,7199.88,7350.98,7115.63,348589541.0,604238742366.8,-0.6677446235520652
2025-09-19,7200.69,7170.35,7232.0,7142.06,271507193.0,450654116274.6,-0.4213485096567029
2025-09-22,7182.89,7225.13,7225.86,7143.08,231858069.0,421916002388.8,0.5880641357448017
2025-09-23,7240.85,7180.71,7250.82,7045.56,281283634.0,495068970675.9,-0.8305654722857168
2025-09-24,7140.31,7323.71,7327.02,7133.43,240064938.0,477262274280.4,2.5685159327816245
2025-09-25,7325.66,7341.32,7379.61,7312.35,236175030.0,493046787219.8,0.2137691347946786
2025-09-26,7311.84,7240.91,7351.79,7237.05,211444148.0,430197601817.0,-0.970070461060421
2025-09-29,7251.52,7350.56,7377.22,7216.74,233539418.0,433864489694.5,1.3657826221261191
2025-09-30,7372.52,7412.37,7428.03,7372.06,220707502.0,444956374594.1,0.5405207446029234
2025-10-09,7470.05,7548.92,7559.09,7437.32,283130784.0,535756806831.8,1.0558162261296764
2025-10-10,7499.39,7398.22,7509.12,7373.98,262256646.0,502127435137.5,-1.3490430555018484
2025-10-13,7135.1,7376.56,7391.82,7135.1,258027817.0,473285532818.8,3.384115149051871
2025-10-14,7434.11,7194.85,7459.02,7166.08,277358873.0,505838515442.6,-3.218408121483262
2025-10-15,7205.74,7294.0,7294.0,7153.42,217559777.0,397458970801.8,1.2248568502332893
2025-10-16,7269.26,7231.53,7305.95,7206.44,194936370.0,359837530025.8,-0.5190349499123772
2025-10-17,7226.42,7016.07,7254.58,7009.89,200044113.0,348113892817.2,-2.9108465879370473
2025-10-20,7092.88,7069.64,7129.99,7033.38,176834192.0,314675076901.6,-0.3276525191459574
2025-10-21,7095.62,7185.62,7193.73,7082.3,205973829.0,344991294992.6,1.2683881042107668
2025-10-22,7135.21,7128.48,7166.56,7101.83,169743254.0,286200266692.2,-0.09432098004123877
2025-10-23,7108.85,7142.95,7153.66,7022.29,188933732.0,286304409856.4,0.47968377445014954
2025-10-24,7175.92,7258.53,7258.53,7174.35,195323933.0,366061817471.7,1.1512112732583373
2025-10-27,7336.2,7379.39,7391.21,7302.02,232051821.0,471762068046.1,0.5887244077315301
2025-10-28,7344.45,7341.03,7404.76,7308.27,202118463.0,422068633884.5,-0.04656577415599634
2025-10-29,7350.76,7480.97,7480.97,7350.76,223844133.0,443141380250.4,1.7713814625970652
2025-10-30,7462.43,7385.71,7463.65,7375.24,243412036.0,473832269828.3,-1.0280833455054217
2025-10-31,7385.74,7331.0,7430.86,7331.0,232041676.0,434918176654.6,-0.7411579611521633
2025-11-03,7327.12,7333.6,7336.51,7214.83,221687060.0,390397102165.8,0.08843856795030616
2025-11-04,7315.19,7210.83,7323.7,7167.35,193325842.0,326392392688.4,-1.4266204978954706
2025-11-05,7098.96,7229.34,7257.84,7098.96,195580243.0,311844646147.3,1.8366070523006202
2025-11-06,7243.2,7345.72,7352.18,7243.2,201722967.0,352809569430.2,1.4153965098299155
2025-11-07,7307.3,7327.91,7371.44,7285.82,192920578.0,336398935520.3,0.2820467204028803
2025-11-10,7357.34,7343.8,7384.79,7289.77,204501330.0,371310636981.7,-0.18403390355753524
